"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2464","test_api_add_car_success","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","9112","test_search_form_dynamic","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","2022","test_login_invalid_email_format","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","3648","test_registration_success","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","1948","test_search_dates_readonly_protection","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","22508","test_add_car_success","tests","2026-09-11","skipped","2026-09-11","","test_add_car","",""
"","2244","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","1734","test_search_empty_city_validation","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","6966","test_calendar_ui_and_close","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","1878","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","3827","test_login_wrong_password","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","1837","test_registration_negative_fields[email--Email is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","4914","test_clear_my_garage","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","1985","test_api_add_car_unauthorized","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","6674","test_api_car_lifecycle","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","2992","test_registration_without_check_box","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","2146","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","3221","test_registration_negative_fields[password--Password is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","5429","test_api_car_booking_flow","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","1831","test_calendar_month_navigation","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","1942","test_registration_negative_fields[name--Name is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","8623","test_hybrid_car_search","tests","2026-09-11","passed","2026-09-11","","test_hybrid_search","",""
"","2080","test_login_empty_password","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","1912","test_calendar_past_navigation_blocked","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","2133","test_api_add_car_beersheba_bug","tests","2026-09-11","skipped","2026-09-11","","test_api_car","",""
"","1729","test_navigation_to_registration","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","4239","test_login_success","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","3915","test_login_unregistered_user","tests","2026-09-11","passed","2026-09-11","","test_login","",""
