"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1206","test_ilcarro_login_button[chromium]","tests_playwright","2026-09-12","passed","2026-09-12","","test_ilcarro_pw","",""
"","4169","test_ilcarro_login[chromium]","tests_playwright","2026-09-12","passed","2026-09-12","","test_ilcarro_pw","",""
