"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","630","test_login_invalid_email_format","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","900","test_registration_negative_fields[password--Password is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","321","test_api_add_car_success","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","5980","test_calendar_ui_and_close","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","693","test_api_car_booking_flow","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","241","test_api_add_car_unauthorized","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","818","test_clear_my_garage","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","595","test_search_empty_city_validation","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","1086","test_login_wrong_password","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","903","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","886","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","899","test_registration_negative_fields[name--Name is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","19614","test_add_car_success","tests","2026-09-11","skipped","2026-09-11","","test_add_car","",""
"","661","test_login_empty_password","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","2524","test_hybrid_car_search","tests","2026-09-11","passed","2026-09-11","","test_hybrid_search","",""
"","1574","test_search_form_dynamic","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","985","test_login_unregistered_user","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","951","test_registration_without_check_box","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","898","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","663","test_calendar_past_navigation_blocked","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","1213","test_registration_success","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","413","test_search_dates_readonly_protection","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","1118","test_login_success","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","856","test_registration_negative_fields[email--Email is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","527","test_navigation_to_registration","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","272","test_api_add_car_beersheba_bug","tests","2026-09-11","skipped","2026-09-11","","test_api_car","",""
"","767","test_calendar_month_navigation","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","1103","test_api_car_lifecycle","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
