"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестируем выбор каждого совпадающего города в выпадающем списке","253","test_dropdown_with_matching_cities[chromium-Holon]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","685","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","471","test_dropdown_with_matching_cities[chromium-Petah Tikva]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","792","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","721","test_registration_negative_fields[email--Email is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","1306","test_login_wrong_password","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","265","test_dropdown_with_matching_cities[chromium-Dimona]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","1534","test_clear_my_garage","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","261","test_dropdown_with_matching_cities[chromium-Sderot]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","3265","test_calendar_month_navigation","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"Тест проверки соответствия списков между бэкендом и фронтендом","1","test_compare_lists","tests_playwright","2026-09-13","passed","2026-09-13","","test_api_and_frontend_city_lists","",""
"","481","test_navigation_to_registration","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","269","test_dropdown_with_matching_cities[chromium-Hadera]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","263","test_dropdown_with_matching_cities[chromium-Kfar Saba]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","775","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","537","test_api_add_car_beersheba_bug","tests","2026-09-13","skipped","2026-09-13","","test_api_car","",""
"","628","test_calendar_past_navigation_blocked","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"","1218","test_login_unregistered_user","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","6512","test_calendar_ui_and_close","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"","1451","test_api_car_booking_flow","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","311","test_search_dates_readonly_protection","tests","2026-09-13","passed","2026-09-13","","test_search","",""
"","4709","test_ilcarro_login[chromium]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ilcarro_pw","",""
"","18457","test_add_car_success","tests","2026-09-13","skipped","2026-09-13","","test_add_car","",""
"","520","test_api_add_car_unauthorized","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","593","test_login_empty_password","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","263","test_dropdown_with_matching_cities[chromium-Ashkelon]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","344","test_dropdown_with_matching_cities[chromium-Bat Yam]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","2107","test_api_car_lifecycle","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","680","test_registration_negative_fields[name--Name is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","258","test_dropdown_with_matching_cities[chromium-Rehovot]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","1228","test_registration_success","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","790","test_registration_without_check_box","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","1214","test_login_success","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","266","test_dropdown_with_matching_cities[chromium-Eilat]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","565","test_dropdown_with_matching_cities[chromium-Bnei Brak]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","262","test_dropdown_with_matching_cities[chromium-Ramat Gan]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","582","test_api_add_car_success","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","269","test_dropdown_with_matching_cities[chromium-Haifa]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","1714","test_search_form_dynamic","tests","2026-09-13","passed","2026-09-13","","test_search","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","273","test_dropdown_with_matching_cities[chromium-Ashdod]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","807","test_registration_negative_fields[password--Password is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","510","test_ilcarro_login_button[chromium]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ilcarro_pw","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","269","test_dropdown_with_matching_cities[chromium-Givatayim]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","256","test_dropdown_with_matching_cities[chromium-Netanya]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","541","test_search_empty_city_validation","tests","2026-09-13","passed","2026-09-13","","test_search","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","267","test_dropdown_with_matching_cities[chromium-Rishon LeZion]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","253","test_dropdown_with_matching_cities[chromium-Herzliya]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","484","test_login_invalid_email_format","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","268","test_dropdown_with_matching_cities[chromium-Jerusalem]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","262","test_dropdown_with_matching_cities[chromium-Tel Aviv]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"","2403","test_hybrid_car_search","tests","2026-09-13","passed","2026-09-13","","test_hybrid_search","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","386","test_dropdown_with_matching_cities[chromium-Nazareth]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
"Тестируем выбор каждого совпадающего города в выпадающем списке","274","test_dropdown_with_matching_cities[chromium-Tiberias]","tests_playwright","2026-09-13","passed","2026-09-13","","test_ui_cities_dropdown","",""
