"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","test_api_add_car_unauthorized","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","682","test_api_car_lifecycle","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","6017","test_search_form_dynamic","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","850","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","992","test_login_unregistered_user","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","944","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","850","test_registration_negative_fields[email--Email is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","492","test_search_empty_city_validation","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","726","test_calendar_month_navigation","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","379","test_clear_my_garage","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","989","test_login_success","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","903","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","662","test_login_empty_password","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","863","test_registration_negative_fields[name--Name is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","5712","test_calendar_ui_and_close","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","1284","test_hybrid_car_search","tests","2026-09-11","passed","2026-09-11","","test_hybrid_search","",""
"","179","test_api_add_car_success","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","483","test_api_car_booking_flow","tests","2026-09-11","passed","2026-09-11","","test_api_car","",""
"","593","test_calendar_past_navigation_blocked","tests","2026-09-11","passed","2026-09-11","","test_calendar","",""
"","18070","test_add_car_success","tests","2026-09-11","skipped","2026-09-11","","test_add_car","",""
"","1187","test_registration_success","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","860","test_registration_negative_fields[password--Password is required]","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","973","test_login_wrong_password","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","313","test_search_dates_readonly_protection","tests","2026-09-11","passed","2026-09-11","","test_search","",""
"","567","test_login_invalid_email_format","tests","2026-09-11","passed","2026-09-11","","test_login","",""
"","963","test_registration_without_check_box","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","497","test_navigation_to_registration","tests","2026-09-11","passed","2026-09-11","","test_registration","",""
"","135","test_api_add_car_beersheba_bug","tests","2026-09-11","skipped","2026-09-11","","test_api_car","",""
