"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2962","test_ilcarro_login_button[chromium]","tests_playwright","2026-09-11","passed","2026-09-11","","test_ilcarro_pw","",""
"","4205","test_ilcarro_login[chromium]","tests_playwright","2026-09-11","passed","2026-09-11","","test_ilcarro_pw","",""
